i5-8259U	27.7
function	time
time pytest -c ./pytest.benchmark.ini ./bench_array_to_file.py	19.3
time pytest -c ./pytest.benchmark.ini ./bench_arrayproxy_slicing.py	1622.08
time pytest -c ./pytest.benchmark.ini ./bench_fileslice.py	25.180
time pytest -c ./pytest.benchmark.ini ./bench_finite_range.py	1.806
time pytest -c ./pytest.benchmark.ini ./bench_load_save.py	11.523
3900X	13.0
function	time
time pytest -c ./pytest.benchmark.ini ./bench_array_to_file.py	7.602
time pytest -c ./pytest.benchmark.ini ./bench_arrayproxy_slicing.py	467.54
time pytest -c ./pytest.benchmark.ini ./bench_fileslice.py	13.484
time pytest -c ./pytest.benchmark.ini ./bench_finite_range.py	1.073
time pytest -c ./pytest.benchmark.ini ./bench_load_save.py	7.288
5950X	13.2
function	time
time pytest -c ./pytest.benchmark.ini ./bench_array_to_file.py	7.51
time pytest -c ./pytest.benchmark.ini ./bench_arrayproxy_slicing.py	512.77
time pytest -c ./pytest.benchmark.ini ./bench_fileslice.py	13.24
time pytest -c ./pytest.benchmark.ini ./bench_finite_range.py	1.49
time pytest -c ./pytest.benchmark.ini ./bench_load_save.py	5.23
M1-x86	13.8
function	time
time pytest -c ./pytest.benchmark.ini ./bench_array_to_file.py	7.27
time pytest -c ./pytest.benchmark.ini ./bench_arrayproxy_slicing.py	585.1
time pytest -c ./pytest.benchmark.ini ./bench_fileslice.py	16.14
time pytest -c ./pytest.benchmark.ini ./bench_finite_range.py	1.31
time pytest -c ./pytest.benchmark.ini ./bench_load_save.py	5.63
M1-ARM numpy 1.19	14.0
function	time
time pytest -c ./pytest.benchmark.ini ./bench_array_to_file.py	7.16
time pytest -c ./pytest.benchmark.ini ./bench_arrayproxy_slicing.py	460.52
time pytest -c ./pytest.benchmark.ini ./bench_fileslice.py	13.821
time pytest -c ./pytest.benchmark.ini ./bench_finite_range.py	2.194
time pytest -c ./pytest.benchmark.ini ./bench_load_save.py	5.295
M1-ARM numpy 1.23	11.0
function	time
time pytest -c ./pytest.benchmark.ini ./bench_array_to_file.py	6.24
time pytest -c ./pytest.benchmark.ini ./bench_arrayproxy_slicing.py	452.36
time pytest -c ./pytest.benchmark.ini ./bench_fileslice.py	13.74
time pytest -c ./pytest.benchmark.ini ./bench_finite_range.py	0.94
time pytest -c ./pytest.benchmark.ini ./bench_load_save.py	4.34
Ampere Altra A1	20.6
function	time
time pytest -c ./pytest.benchmark.ini ./bench_array_to_file.py	17.74
time pytest -c ./pytest.benchmark.ini ./bench_arrayproxy_slicing.py	675.47
time pytest -c ./pytest.benchmark.ini ./bench_fileslice.py	19.57
time pytest -c ./pytest.benchmark.ini ./bench_finite_range.py	1.32
time pytest -c ./pytest.benchmark.ini ./bench_load_save.py	12.13
Amazon Graviton Neoverse-N1	23.0
time pytest -c ./pytest.benchmark.ini ./bench_array_to_file.py	17.90
time pytest -c ./pytest.benchmark.ini ./bench_arrayproxy_slicing.py	778.40
time pytest -c ./pytest.benchmark.ini ./bench_fileslice.py	20.80
time pytest -c ./pytest.benchmark.ini ./bench_finite_range.py	1.66
time pytest -c ./pytest.benchmark.ini ./bench_load_save.py	13.40
